group,cluster,word,SSP_adh,position,word_frequency,cluster_frequency,word_length,cluster_length,type,sentence,question,answer_1,answer_2,correct_answer
A,стр,министр,nSSP,end,154.1,249.6,7,3,word,министр носил дорогие часы,,,,
B,кль,спектакль,nSSP,end,164.7,178,9,2,word,спектакль окончился неудачей,,,,
A,др,кедр,nSSP,end,6.1,73.4,4,2,word,кедр стал домом для белок,Что стало домом для белок?,кедр,ольха,кедр
B,кл,мотоцикл,nSSP,end,18.4,69.5,8,2,word,мотоцикл начинал реветь на большой скорости ,,,,
A,вр,динозавр,nSSP,end,3.1,43.2,8,2,word,динозавр медленно ел растение,,,,
B,гр,тигр,nSSP,end,15.2,29.7,4,2,word,тигр готовился к прыжку,,,,
A,ктр,спектр,nSSP,end,27,27,6,3,word,спектр цветов поражал меня ,,,,
B,мбр,тембр,nSSP,end,3.4,3.4,5,3,word,тембр голоса позволял брать высокие ноты,,,,
A,зл,жезл,nSSP,end,3.5,3.5,4,2,word,жезл был инкрустирован драгоценными камнями,Чем был инкрустирован жезл?,драгоценными камнями,жемчугом,драгоценными камнями
B,мбль,ансамбль,nSSP,end,21.7,21.7,8,3,word,ансамбль играл неизвестную мелодию,,,,
A,снь,песнь,nSSP,end,18.7,18.7,5,2,word,его песнь облетела весь мир,,,,
B,ндр,цилиндр,nSSP,end,12.5,16.6,7,3,word,цилиндр отличное дополнение к костюму,,,,
A,зн,соблазн,nSSP,end,13.2,13.2,7,2,word,соблазн был велик,,,,
B,хрь,вихрь,nSSP,end,9.7,9.7,5,2,word,огромный вихрь поднялся над городом,,,,
A,вль,журавль,nSSP,end,5.2,5.2,7,2,word,журавль нёс очередное послание,,,,
B,лб,столб,SSP,end,32.7,33.1,5,2,word,фонарный столб тускло освещал улицу,,,,
A,ртс,дартс,SSP,end,0.4,0.4,5,3,word,дартс моя любимая игра,,,,
B,ст,хлыст,SSP,end,2.8,2163.2,5,2,word,хлыст лежал на столе вместе с другим предметами из сумки,,,,
A,рг,киборг,SSP,end,0.6,158,6,2,word,киборг не понимал человечских эмоций,,,,
B,нс,скунс,SSP,end,0.5,179.5,5,2,word,скунс маленький и прыткий зверёк,,,,
A,рб,герб,SSP,end,7.7,56.1,4,2,word,фамильный герб на входе в их дом очень обветшал,,,,
B,зд,поезд,SSP,end,93.3,363.2,5,2,word,поезд подъезжал к перрону,К чему подъезжал поезд?,к перрону,к вокзалу,к перрону
A,лк,волк,SSP,end,36.1,133,4,2,word,волк и красная шапочка направились в чащу леса,,,,
B,йн,бассейн,SSP,end,33.4,77.5,7,2,word,бассейн был полон народу,,,,
A,ск,блеск,SSP,end,29.7,568.9,5,2,word,блеск кристала манил меня,,,,
B,рд,абсурд,SSP,end,9.1,132.5,6,2,word,это был полный абсурд,,,,
A,мп,темп,SSP,end,49,63.1,4,2,word,темп мелодии постепенно ускорялся,,,,
B,мф,триумф,SSP,end,9.3,9.3,6,2,word,триумф был неминуем,,,,
A,лст,холст,SSP,end,8.9,8.9,5,3,word,холст был полон ярких красок,,,,
B,ркт,инфаркт,SSP,end,11.6,11.6,7,3,word,инфаркт миокарда неприятное состояние,,,,
A,None,кот,filler,filler,40.3,None,3,None,word,кот стащил со стола сосиску,Что стащил кот со стола?,сосиску,котлету,сосиску
B,None,носок,filler,filler,25.2,None,5,None,word,носок подарили добби,,,,
A,None,пакет,filler,filler,65.8,None,5,None,word,пакет с логотипом вашей компании,,,,
B,None,табурет,filler,filler,7.3,None,7,None,word,петя встал на табурет,,,,
A,None,обед,filler,filler,69.7,None,4,None,word,обед был практически готов,,,,
B,None,город,filler,filler,573.4,None,5,None,word,ночной город был на удивление спокойным,,,,
A,None,сторож,filler,filler,14.4,None,6,None,word,сторож многому меня научил,,,,
B,None,егерь,filler,filler,3.7,None,5,None,word,егерь обходил лес каждый вечер,,,,
A,None,велосипед,filler,filler,23.1,None,9,None,word,новенький велосипед блестел на солнце,Что блестело на солнце?,мопед,велосипед,велосипед
B,None,порошок,filler,filler,16.8,None,7,None,word,неизвестный порошок и множество других смесей были на столе,,,,
A,None,куча,filler,filler,40.4,None,4,None,word,куча соломы лежала посреди огорода,,,,
B,None,дыня,filler,filler,4.1,None,4,None,word,дыня была сладкой и полной сока,,,,
A,None,рыба,filler,filler,86,None,4,None,word,рыба плескалась в воде,,,,
B,None,корова,filler,filler,44.8,None,6,None,word,корова паслась на лугу,,,,
