Value,age,id,group,cluster,word,SSP,word_type,position,word_freq,cluster_freq,word_length,cluster_length,Reading.time
хущаск,21,88f2ceb4ad7be1adfed2145c5dddd178,A,ск,хущаск,SSP,pseudoword,end,None,568.9,5,2,451
глен,21,88f2ceb4ad7be1adfed2145c5dddd178,A,гл,глен,SSP,pseudoword,start,None,2880.4,4,2,420
физл,21,88f2ceb4ad7be1adfed2145c5dddd178,A,зл,физл,nSSP,pseudoword,end,None,3.5,4,2,561
восхолк,21,88f2ceb4ad7be1adfed2145c5dddd178,A,лк,восхолк,SSP,pseudoword,end,None,133,4,2,360
шанавр,21,88f2ceb4ad7be1adfed2145c5dddd178,A,вр,шанавр,nSSP,pseudoword,end,None,43.2,8,2,500
нощага,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,нощага,filler,pseudoword,filler,None,None,6,None,560
штран,21,88f2ceb4ad7be1adfed2145c5dddd178,A,штр,штран,SSP,pseudoword,start,None,51.1,5,3,411
ликостр,21,88f2ceb4ad7be1adfed2145c5dddd178,A,стр,ликостр,nSSP,pseudoword,end,None,249.6,7,3,420
герищав,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,герищав,filler,pseudoword,filler,None,None,7,None,469
язнь,21,88f2ceb4ad7be1adfed2145c5dddd178,A,знь,язнь,nSSP,pseudoword,end,None,1548.5,7,2,410
ржавчина,50,a58c76a2da94b4a7d978eacd3cd7e495,B,рж,ржавчина,nSSP,word,start,4.2,31.1,8,2,3125
тигр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,гр,тигр,nSSP,word,end,15.2,29.7,4,2,2009
вратарь,50,a58c76a2da94b4a7d978eacd3cd7e495,B,вр,вратарь,SSP,word,start,4.8,3016.4,7,2,1910
мотоцикл,50,a58c76a2da94b4a7d978eacd3cd7e495,B,кл,мотоцикл,nSSP,word,end,18.4,69.5,8,2,2041
скунс,50,a58c76a2da94b4a7d978eacd3cd7e495,B,нс,скунс,SSP,word,end,0.5,179.5,5,2,1965
спектакль,50,a58c76a2da94b4a7d978eacd3cd7e495,B,кль,спектакль,nSSP,word,end,164.7,178,9,2,1872
рванина,50,a58c76a2da94b4a7d978eacd3cd7e495,B,рв,рванина,nSSP,word,start,0.4,100.9,7,2,2089
ансамбль,50,a58c76a2da94b4a7d978eacd3cd7e495,B,мбль,ансамбль,nSSP,word,end,21.7,21.7,8,3,1746
склон,50,a58c76a2da94b4a7d978eacd3cd7e495,B,скл,склон,SSP,word,start,26.3,262.9,5,3,1532
вихрь,50,a58c76a2da94b4a7d978eacd3cd7e495,B,хрь,вихрь,nSSP,word,end,9.7,9.7,5,2,1485
носок,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,носок,filler,word,filler,25.2,None,5,None,2191
город,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,город,filler,word,filler,573.4,None,5,None,1386
лжец,50,a58c76a2da94b4a7d978eacd3cd7e495,B,лж,лжец,nSSP,word,start,1.9,10.1,4,2,1434
право,50,a58c76a2da94b4a7d978eacd3cd7e495,B,пр,право,SSP,word,start,461.4,36041.9,5,2,1396
трагедия,50,a58c76a2da94b4a7d978eacd3cd7e495,B,тр,трагедия,SSP,word,start,45.7,4601.6,8,2,1811
абсурд,50,a58c76a2da94b4a7d978eacd3cd7e495,B,рд,абсурд,SSP,word,end,9.1,132.5,6,2,1475
хлыст,50,a58c76a2da94b4a7d978eacd3cd7e495,B,ст,хлыст,SSP,word,end,2.8,2163.2,5,2,1311
инфаркт,50,a58c76a2da94b4a7d978eacd3cd7e495,B,ркт,инфаркт,SSP,word,end,11.6,11.6,7,3,1716
краб,50,a58c76a2da94b4a7d978eacd3cd7e495,B,кр,краб,SSP,word,start,7.9,4723.9,4,2,1362
шквал,50,a58c76a2da94b4a7d978eacd3cd7e495,B,шкв,шквал,SSP,word,start,3.4,4.2,5,3,1493
столб,50,a58c76a2da94b4a7d978eacd3cd7e495,B,лб,столб,SSP,word,end,32.7,33.1,5,2,1133
ствол,50,a58c76a2da94b4a7d978eacd3cd7e495,B,ств,ствол,SSP,word,start,49.5,61.9,5,3,1251
льстец,50,a58c76a2da94b4a7d978eacd3cd7e495,B,льст,льстец,nSSP,word,start,0.7,6.7,6,3,1360
мститель,50,a58c76a2da94b4a7d978eacd3cd7e495,B,мст,мститель,nSSP,word,start,1.9,15.9,8,3,1348
цилиндр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,ндр,цилиндр,nSSP,word,end,12.5,16.6,7,3,1281
триумф,50,a58c76a2da94b4a7d978eacd3cd7e495,B,мф,триумф,SSP,word,end,9.3,9.3,6,2,1140
ртуть,50,a58c76a2da94b4a7d978eacd3cd7e495,B,рт,ртуть,nSSP,word,start,3.7,7.9,5,2,1215
рубль,50,a58c76a2da94b4a7d978eacd3cd7e495,B,бль,рубль,nSSP,word,end,296.4,416.2,5,2,1156
тембр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,мбр,тембр,nSSP,word,end,3.4,3.4,5,3,1131
бассейн,50,a58c76a2da94b4a7d978eacd3cd7e495,B,йн,бассейн,SSP,word,end,33.4,77.5,7,2,1595
театр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,тр,театр,nSSP,word,end,305.3,792,5,2,1133
дыня,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,дыня,filler,word,filler,4.1,None,4,None,1321
поезд,50,a58c76a2da94b4a7d978eacd3cd7e495,B,зд,поезд,SSP,word,end,93.3,363.2,5,2,1168
центр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,нтр,центр,nSSP,word,end,265.9,281.5,5,3,938
егерь,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,егерь,filler,word,filler,3.7,None,5,None,1302
табурет,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,табурет,filler,word,filler,7.3,None,7,None,980
корова,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,корова,filler,word,filler,44.8,None,6,None,1126
порошок,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,порошок,filler,word,filler,16.8,None,7,None,1247
лурян,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,лурян,filler,pseudoword,filler,None,None,5,None,2209
гощара,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,гощара,filler,pseudoword,filler,None,None,6,None,1735
вигокль,50,a58c76a2da94b4a7d978eacd3cd7e495,B,кль,вигокль,nSSP,pseudoword,end,None,178,9,2,2802
зовамф,50,a58c76a2da94b4a7d978eacd3cd7e495,B,мф,зовамф,SSP,pseudoword,end,None,9.3,6,2,6965
визун,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,визун,filler,pseudoword,filler,None,None,5,None,1758
кугора,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,кугора,filler,pseudoword,filler,None,None,6,None,1920
югост,50,a58c76a2da94b4a7d978eacd3cd7e495,B,ст,югост,SSP,pseudoword,end,None,2163.2,5,2,1594
крак,50,a58c76a2da94b4a7d978eacd3cd7e495,B,кр,крак,SSP,pseudoword,start,None,4723.9,4,2,1291
врамус,50,a58c76a2da94b4a7d978eacd3cd7e495,B,вр,врамус,SSP,pseudoword,start,None,3016.4,7,2,2190
моркт,50,a58c76a2da94b4a7d978eacd3cd7e495,B,ркт,моркт,SSP,pseudoword,end,None,11.6,7,3,3361
вудалб,50,a58c76a2da94b4a7d978eacd3cd7e495,B,лб,вудалб,SSP,pseudoword,end,None,33.1,5,2,2427
сигузд,50,a58c76a2da94b4a7d978eacd3cd7e495,B,зд,сигузд,SSP,pseudoword,end,None,363.2,5,2,3471
нокейн,50,a58c76a2da94b4a7d978eacd3cd7e495,B,йн,нокейн,SSP,pseudoword,end,None,77.5,7,2,1936
инихрь,50,a58c76a2da94b4a7d978eacd3cd7e495,B,хрь,инихрь,nSSP,pseudoword,end,None,9.7,5,2,1649
мстунит,50,a58c76a2da94b4a7d978eacd3cd7e495,B,мст,мстунит,nSSP,pseudoword,start,None,15.9,8,3,3062
фунтр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,нтр,фунтр,nSSP,pseudoword,end,None,281.5,5,3,1999
ипогр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,гр,ипогр,nSSP,pseudoword,end,None,29.7,4,2,1893
фофард,50,a58c76a2da94b4a7d978eacd3cd7e495,B,рд,фофард,SSP,pseudoword,end,None,132.5,6,2,2395
шквурм,50,a58c76a2da94b4a7d978eacd3cd7e495,B,шкв,шквурм,SSP,pseudoword,start,None,4.2,5,3,2532
трацеп,50,a58c76a2da94b4a7d978eacd3cd7e495,B,тр,трацеп,SSP,pseudoword,start,None,4601.6,8,2,1920
шейун,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,шейун,filler,pseudoword,filler,None,None,5,None,2161
поратух,50,a58c76a2da94b4a7d978eacd3cd7e495,B,None,поратух,filler,pseudoword,filler,None,None,7,None,2284
кузетр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,тр,кузетр,nSSP,pseudoword,end,None,792,5,2,1764
шомбр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,мбр,шомбр,nSSP,pseudoword,end,None,3.4,5,3,1815
прен,50,a58c76a2da94b4a7d978eacd3cd7e495,B,пр,прен,SSP,pseudoword,start,None,36041.9,5,2,1061
ржыр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,рж,ржыр,nSSP,pseudoword,start,None,31.1,8,2,2988
коромбль,50,a58c76a2da94b4a7d978eacd3cd7e495,B,мбль,коромбль,nSSP,pseudoword,end,None,21.7,8,3,5092
рвыкут,50,a58c76a2da94b4a7d978eacd3cd7e495,B,рв,рвыкут,nSSP,pseudoword,start,None,100.9,7,2,1631
щутонс,50,a58c76a2da94b4a7d978eacd3cd7e495,B,нс,щутонс,SSP,pseudoword,end,None,179.5,5,2,2354
льстыр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,льст,льстыр,nSSP,pseudoword,start,None,6.7,6,3,2091
жакл,50,a58c76a2da94b4a7d978eacd3cd7e495,B,кл,жакл,nSSP,pseudoword,end,None,69.5,8,2,1218
ртос,50,a58c76a2da94b4a7d978eacd3cd7e495,B,рт,ртос,nSSP,pseudoword,start,None,7.9,5,2,1150
анакондр,50,a58c76a2da94b4a7d978eacd3cd7e495,B,ндр,анакондр,nSSP,pseudoword,end,None,16.6,7,3,2281
торибль,50,a58c76a2da94b4a7d978eacd3cd7e495,B,бль,торибль,nSSP,pseudoword,end,None,416.2,5,2,1454
ствонет,50,a58c76a2da94b4a7d978eacd3cd7e495,B,ств,ствонет,SSP,pseudoword,start,None,61.9,5,3,1897
склус,50,a58c76a2da94b4a7d978eacd3cd7e495,B,скл,склус,SSP,pseudoword,start,None,262.9,5,3,1259
мщение,25,b1c7401e2342af4bdf7b049117a09a8d,A,мщ,мщение,nSSP,word,start,1.2,1.2,6,2,458
велосипед,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,велосипед,filler,word,filler,23.1,None,9,None,646
льгота,25,b1c7401e2342af4bdf7b049117a09a8d,A,льг,льгота,nSSP,word,start,28.8,38.6,6,2,357
кот,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,кот,filler,word,filler,40.3,None,3,None,361
жезл,25,b1c7401e2342af4bdf7b049117a09a8d,A,зл,жезл,nSSP,word,end,3.5,3.5,4,2,403
степь,25,b1c7401e2342af4bdf7b049117a09a8d,A,ст,степь,SSP,word,start,29.6,9964.8,5,2,343
сторож,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,сторож,filler,word,filler,14.4,None,6,None,380
песнь,25,b1c7401e2342af4bdf7b049117a09a8d,A,снь,песнь,nSSP,word,end,18.7,18.7,5,2,414
слайд,25,b1c7401e2342af4bdf7b049117a09a8d,A,сл,слайд,SSP,word,start,1.7,6393,5,2,375
льдина,25,b1c7401e2342af4bdf7b049117a09a8d,A,льд,льдина,nSSP,word,start,6.1,8.6,6,2,405
цветок,25,b1c7401e2342af4bdf7b049117a09a8d,A,цв,цветок,SSP,word,start,92.4,369.3,6,2,348
кедр,25,b1c7401e2342af4bdf7b049117a09a8d,A,др,кедр,nSSP,word,end,6.1,73.4,4,2,380
динозавр,25,b1c7401e2342af4bdf7b049117a09a8d,A,вр,динозавр,nSSP,word,end,3.1,43.2,8,2,451
обед,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,обед,filler,word,filler,69.7,None,4,None,373
мгновение,25,b1c7401e2342af4bdf7b049117a09a8d,A,мгн,мгновение,nSSP,word,start,55.1,113.6,9,3,410
министр,25,b1c7401e2342af4bdf7b049117a09a8d,A,стр,министр,nSSP,word,end,154.1,249.6,7,3,467
спектр,25,b1c7401e2342af4bdf7b049117a09a8d,A,ктр,спектр,nSSP,word,end,27,27,6,3,491
темп,25,b1c7401e2342af4bdf7b049117a09a8d,A,мп,темп,SSP,word,end,49,63.1,4,2,608
куча,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,куча,filler,word,filler,40.4,None,4,None,406
блеск,25,b1c7401e2342af4bdf7b049117a09a8d,A,ск,блеск,SSP,word,end,29.7,568.9,5,2,393
мгла,25,b1c7401e2342af4bdf7b049117a09a8d,A,мгл,мгла,nSSP,word,start,8.1,9.1,4,3,494
рыба,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,рыба,filler,word,filler,86,None,4,None,363
организм,25,b1c7401e2342af4bdf7b049117a09a8d,A,зм,организм,nSSP,word,end,80.6,725.1,8,2,390
пакет,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,пакет,filler,word,filler,65.8,None,5,None,447
штраф,25,b1c7401e2342af4bdf7b049117a09a8d,A,штр,штраф,SSP,word,start,32.3,51.1,5,3,418
киборг,25,b1c7401e2342af4bdf7b049117a09a8d,A,рг,киборг,SSP,word,end,0.6,158,6,2,424
холст,25,b1c7401e2342af4bdf7b049117a09a8d,A,лст,холст,SSP,word,end,8.9,8.9,5,3,419
глаз,25,b1c7401e2342af4bdf7b049117a09a8d,A,гл,глаз,SSP,word,start,857.6,2880.4,4,2,383
журавль,25,b1c7401e2342af4bdf7b049117a09a8d,A,вль,журавль,nSSP,word,end,5.2,5.2,7,2,348
смысл,25,b1c7401e2342af4bdf7b049117a09a8d,A,сл,смысл,nSSP,word,end,294.6,294.6,5,2,2172
соблазн,25,b1c7401e2342af4bdf7b049117a09a8d,A,зн,соблазн,nSSP,word,end,13.2,13.2,7,2,444
мзда,25,b1c7401e2342af4bdf7b049117a09a8d,A,мзд,мзда,nSSP,word,start,1.5,2.7,4,3,691
дартс,25,b1c7401e2342af4bdf7b049117a09a8d,A,ртс,дартс,SSP,word,end,0.4,0.4,5,3,387
волк,25,b1c7401e2342af4bdf7b049117a09a8d,A,лк,волк,SSP,word,end,36.1,133,4,2,405
герб,25,b1c7401e2342af4bdf7b049117a09a8d,A,рб,герб,SSP,word,end,7.7,56.1,4,2,368
двойник,25,b1c7401e2342af4bdf7b049117a09a8d,A,дв,двойник,SSP,word,start,8,3166,7,2,334
болезнь,25,b1c7401e2342af4bdf7b049117a09a8d,A,знь,болезнь,nSSP,word,end,109.6,1548.5,7,2,419
щавила,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,щавила,filler,pseudoword,filler,None,None,6,None,453
люфизм,25,b1c7401e2342af4bdf7b049117a09a8d,A,зм,люфизм,nSSP,pseudoword,end,None,725.1,8,2,409
стаху,25,b1c7401e2342af4bdf7b049117a09a8d,A,ст,стаху,SSP,pseudoword,start,None,9964.8,5,2,432
физл,25,b1c7401e2342af4bdf7b049117a09a8d,A,зл,физл,nSSP,pseudoword,end,None,3.5,4,2,371
шокесл,25,b1c7401e2342af4bdf7b049117a09a8d,A,сл,шокесл,nSSP,pseudoword,end,None,294.6,5,2,420
хущаск,25,b1c7401e2342af4bdf7b049117a09a8d,A,ск,хущаск,SSP,pseudoword,end,None,568.9,5,2,1752
мщикус,25,b1c7401e2342af4bdf7b049117a09a8d,A,мщ,мщикус,nSSP,pseudoword,start,None,1.2,6,2,1261
вихатор,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,вихатор,filler,pseudoword,filler,None,None,7,None,1119
мгнинул,25,b1c7401e2342af4bdf7b049117a09a8d,A,мгл,мгнинул,nSSP,pseudoword,start,None,9.1,4,3,471
мгнус,25,b1c7401e2342af4bdf7b049117a09a8d,A,мгн,мгнус,nSSP,pseudoword,start,None,113.6,9,3,454
якузн,25,b1c7401e2342af4bdf7b049117a09a8d,A,зн,якузн,nSSP,pseudoword,end,None,13.2,7,2,298
слаш,25,b1c7401e2342af4bdf7b049117a09a8d,A,сл,слаш,SSP,pseudoword,start,None,6393,5,2,479
глен,25,b1c7401e2342af4bdf7b049117a09a8d,A,гл,глен,SSP,pseudoword,start,None,2880.4,4,2,375
двурь,25,b1c7401e2342af4bdf7b049117a09a8d,A,дв,двурь,SSP,pseudoword,start,None,3166,7,2,270
вущавль,25,b1c7401e2342af4bdf7b049117a09a8d,A,вль,вущавль,nSSP,pseudoword,end,None,5.2,7,2,1008
восхолк,25,b1c7401e2342af4bdf7b049117a09a8d,A,лк,восхолк,SSP,pseudoword,end,None,133,4,2,1268
нощага,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,нощага,filler,pseudoword,filler,None,None,6,None,578
нораха,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,нораха,filler,pseudoword,filler,None,None,6,None,450
герищав,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,герищав,filler,pseudoword,filler,None,None,7,None,1300
цвоп,25,b1c7401e2342af4bdf7b049117a09a8d,A,цв,цвоп,SSP,pseudoword,start,None,369.3,6,2,533
косторг,25,b1c7401e2342af4bdf7b049117a09a8d,A,рг,косторг,SSP,pseudoword,end,None,158,6,2,419
ликостр,25,b1c7401e2342af4bdf7b049117a09a8d,A,стр,ликостр,nSSP,pseudoword,end,None,249.6,7,3,418
уфилст,25,b1c7401e2342af4bdf7b049117a09a8d,A,лст,уфилст,SSP,pseudoword,end,None,8.9,5,3,482
льгысет,25,b1c7401e2342af4bdf7b049117a09a8d,A,льг,льгысет,nSSP,pseudoword,start,None,38.6,6,2,509
кулоктр,25,b1c7401e2342af4bdf7b049117a09a8d,A,ктр,кулоктр,nSSP,pseudoword,end,None,27,6,3,477
ашомп,25,b1c7401e2342af4bdf7b049117a09a8d,A,мп,ашомп,SSP,pseudoword,end,None,63.1,4,2,340
шанавр,25,b1c7401e2342af4bdf7b049117a09a8d,A,вр,шанавр,nSSP,pseudoword,end,None,43.2,8,2,309
кусоратуз,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,кусоратуз,filler,pseudoword,filler,None,None,9,None,691
язнь,25,b1c7401e2342af4bdf7b049117a09a8d,A,знь,язнь,nSSP,pseudoword,end,None,1548.5,7,2,738
ниял,25,b1c7401e2342af4bdf7b049117a09a8d,A,None,ниял,filler,pseudoword,filler,None,None,4,None,635
штран,25,b1c7401e2342af4bdf7b049117a09a8d,A,штр,штран,SSP,pseudoword,start,None,51.1,5,3,638
щуснь,25,b1c7401e2342af4bdf7b049117a09a8d,A,снь,щуснь,nSSP,pseudoword,end,None,18.7,5,2,532
мздырмыг,25,b1c7401e2342af4bdf7b049117a09a8d,A,мзд,мздырмыг,nSSP,pseudoword,start,None,2.7,4,3,334
вирб,25,b1c7401e2342af4bdf7b049117a09a8d,A,рб,вирб,SSP,pseudoword,end,None,56.1,4,2,598
носудр,25,b1c7401e2342af4bdf7b049117a09a8d,A,др,носудр,nSSP,pseudoword,end,None,73.4,4,2,433
нокортс,25,b1c7401e2342af4bdf7b049117a09a8d,A,ртс,нокортс,SSP,pseudoword,end,None,0.4,5,3,651
слайд,24,3d3587eb3f0ae79a66c273a16daa9426,A,сл,слайд,SSP,word,start,1.7,6393,5,2,810
мщение,24,3d3587eb3f0ae79a66c273a16daa9426,A,мщ,мщение,nSSP,word,start,1.2,1.2,6,2,502
